ds,yhat,yhat_lower,yhat_upper
2015-01-31,14300.78862985962,5117.959003803217,24046.058949136663
2015-02-28,2292.4907754237356,-7422.910519617399,11701.802910133694
2015-03-31,52016.921024766336,43031.4795628065,61143.316586834335
2015-04-30,21123.41313442593,11557.08371152114,29650.375748505692
2015-05-31,22726.497781328253,13792.356516458469,32329.99253104272
2015-06-30,29917.675535878807,20639.953424054154,39347.27943117466
2015-07-31,25841.090854815102,16172.68424739142,35325.35867432136
2015-08-31,24904.308480717824,15869.175551536864,33979.27614064153
2015-09-30,70749.55291186842,61947.72336144905,79684.75500830999
2015-10-31,38069.69156731027,28567.035179895905,47569.21388977388
2015-11-30,80843.73659174814,71827.8914511139,90151.04230870257
2015-12-31,63393.26891232001,54299.185146943244,72939.74732731498
2016-01-31,19349.245440781207,9712.029162389108,29124.18357114636
2016-02-29,14205.699881374505,4615.295988366657,23844.404014590324
2016-03-31,33166.00793057265,24251.136093814195,42644.801641708036
2016-04-30,32995.51395851704,23077.07751941314,42794.287295155475
2016-05-31,40181.72931158876,31083.410587299113,49436.40513784791
2016-06-30,28602.332694545614,18913.36224756489,37437.843332199816
2016-07-31,32163.019802718503,22910.438514466605,41407.22574226825
2016-08-31,38791.84112854717,29644.00898881824,47909.00294184655
2016-09-30,63984.03471503621,54104.56359641152,73514.75800997268
2016-10-31,46040.10639288742,35626.22122472565,55683.783307313024
2016-11-30,78370.90457626089,68403.78335607107,87838.63659280044
2016-12-31,81357.47367364998,72078.18695181876,90638.83809322662
2017-01-31,26112.348490121323,17470.22877348812,36082.399593916554
2017-02-28,18207.642037705602,8613.977594162947,28092.75130227062
2017-03-31,47851.89423805761,38289.810135565625,56781.78526592716
2017-04-30,37865.74867956248,28248.710398064315,47456.493145313354
2017-05-31,43316.655064354556,33947.56970870653,52812.13002195554
2017-06-30,38245.53978413644,28498.860129576224,48150.85708833063
2017-07-31,39624.274455577804,30697.57468750473,48962.39123306741
2017-08-31,43931.24793157851,34506.400162336635,53487.902308686556
2017-09-30,76334.69566671678,67325.04713268657,85900.69760729138
2017-10-31,53810.170126575715,44092.675607749705,62954.06375104105
2017-11-30,89780.864875184,81229.77480284219,98807.62748142779
2017-12-31,86035.93549953314,77077.15624634665,95977.5491041803
2018-01-31,34521.34167808437,24727.71687234608,43706.01929430961
2018-02-28,24656.677809651148,14915.780428609001,34758.63835766309
2018-03-31,64561.312518807776,55307.08777251156,73843.59285040379
2018-04-30,44333.47065286913,34877.75837968372,53100.25762460062
2018-05-31,47925.11863089558,38401.126776283265,56747.157421291864
2018-06-30,49114.9108783445,39757.63782114116,58339.01103657744
2018-07-31,47949.460497000924,39056.61778451061,57462.90472106483
2018-08-31,49735.77201196174,41362.91555292427,58935.816558049075
2018-09-30,89026.81994776128,80152.4968872031,98075.91042535035
2018-10-31,61590.5238970815,52414.68203658352,70865.8302613561
2018-11-30,101136.33696332038,91106.92923398521,110138.59053459925
2018-12-31,90673.80060472057,81098.2403933931,100299.5575631297
2019-01-31,42990.532200576694,33417.40707970372,52299.85877618236
2019-02-28,31248.159920392925,21546.322860469572,40556.91353984612
2019-03-31,81267.00777051749,71702.34528948659,90678.78855566552
2019-04-30,50658.42013918931,40941.518387958764,59732.6436791905
2019-05-31,52555.92238525572,43111.26092590947,62445.745575655856
2019-06-30,60032.02039671067,50586.33314640418,69667.08743573017
2019-07-31,56249.85331446422,46391.801526259755,65339.345076904516
2019-08-31,55607.48853999388,45707.05551616157,64008.643770580726
2019-09-30,101737.65323028591,91908.58578077548,110592.87621703904
2019-10-31,69352.2094869122,60796.84175768098,78582.36651279703
2019-11-30,112411.17476835768,102853.63163180723,122136.22825297706
2019-12-31,95255.12468646806,85929.31063389592,104892.5686169671
2020-01-31,51505.518812405804,42100.09418661976,60231.02074237764
2020-02-29,46637.38050331698,36564.1569391818,56088.038116853415
2020-03-31,65892.08914718284,56625.13656131251,75213.89422244707
2020-04-30,66006.49897649157,56806.80424952308,75459.05672297825
2020-05-31,73486.7439428056,64256.02569324536,82905.63288432735
2020-06-30,62191.60779877862,52335.24466260986,71801.25330289808
2020-07-31,66046.03072914934,56402.87533800048,75941.38845231512
2020-08-31,72967.51282579542,62830.423095041115,82370.58402939339
2020-09-30,98442.25168821463,89648.86837791647,107956.41651284382
2020-10-31,80790.28681788353,71011.99082013596,90591.8699121285
2020-11-30,113125.18138605665,103883.19563354396,122296.67087141464
2020-12-31,116115.39358311651,106843.84233611925,125803.24256890359
2021-01-31,60873.91149929428,51769.0109079534,71056.59289606102
2021-02-28,52972.13582642853,43762.40678907929,61676.55990827537
2021-03-31,82619.18419056182,73470.47677779052,91662.88428068708
2021-04-30,72635.74459705164,63335.82833675643,82253.7260164018
2021-05-31,78089.35245127806,69318.41647181715,87785.85337010714
2021-06-30,73020.10933101611,63174.796737793346,82868.51847361082
2021-07-31,74400.77856773141,64991.94087456118,83882.36136882502
2021-08-31,78708.85350543371,69485.85164198483,88121.41079973284
2021-09-30,111112.70468434886,102342.80843554602,120072.50028399342
2021-10-31,88588.59603617997,79241.16136937964,97431.91283214546
2021-11-30,124559.40873727639,115004.45691051464,134180.0902898508
2021-12-31,120814.47988135356,111559.59680864084,130910.60383488536
2022-01-31,69299.88657961824,59309.289546809814,78911.44743146849
2022-02-28,59435.22271226574,50510.62675210321,67963.02248383676
2022-03-31,99339.8574214363,89854.80697155364,108828.83346679049
2022-04-30,79112.01555547635,69179.08788246449,88016.90244991328
2022-05-31,82703.66353350152,72645.07840701997,92523.53497488104
2022-06-30,83893.45578098127,74515.69714900949,93748.97889484403
2022-07-31,82728.00539965281,73231.28475182196,92047.1774709565
2022-08-31,84514.3169146047,74580.55406015014,94307.97838092184
2022-09-30,123805.36485043755,114052.63405092568,133170.43203404016
2022-10-31,96369.0687997098,86498.09951591502,105593.90543434188
2022-11-30,135914.88186591648,126643.06671829401,145044.07352638082
2022-12-31,125452.34550733525,115420.73046262295,134599.79567859133
2023-01-31,77769.07710317377,68390.82221378907,87441.0686941419
2023-02-28,66026.70482301438,56215.591924112734,75409.59623164577
2023-03-31,116045.55267325128,105620.21633522876,126030.61347051809
2023-04-30,85436.96504180733,76328.42503440547,94990.4467686686
2023-05-31,87334.46728786435,77499.87909370195,97394.73205410299
2023-06-30,94810.56529933501,84974.7198192891,104807.39685602966
2023-07-31,91028.39821708016,81192.269240933,101546.38129612453
2023-08-31,90386.033442621,79943.95743157511,100286.262283122
2023-09-30,136516.198132953,126302.3847762865,145905.8191761873
2023-10-31,104130.75438953942,93336.35300180875,114852.27011911596
2023-11-30,147189.7196709631,137245.1709088887,157910.10718390218
2023-12-31,130033.66958904412,120613.08315050432,139886.8699423494
