Order Date,Sales,Category,Region
2015-01-31,14205.707,Office SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureTechnologyOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurniture,CentralCentralCentralCentralEastWestSouthSouthSouthSouthSouthSouthSouthSouthCentralCentralCentralCentralSouthSouthEastSouthSouthSouthSouthSouthSouthWestWestWestEastEastEastSouthEastEastEastEastWestWestWestWestWestSouthSouthSouthSouthSouthSouthWestWestCentralCentralCentralCentralCentralCentralCentralCentralSouthWestSouthSouthSouthSouthSouthSouthSouthCentralCentralWestWestWestEastCentralCentralWest
2015-02-28,4519.892,TechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesTechnologyOffice SuppliesFurnitureTechnologyFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice Supplies,CentralWestSouthSouthWestWestWestWestWestSouthSouthSouthCentralEastEastWestSouthSouthSouthCentralCentralCentralCentralCentralCentralWestCentralWestWestWestWestCentralCentralCentralCentralCentralCentralCentralWestCentralWestCentralCentralWestWestEast
2015-03-31,55205.797,FurnitureTechnologyFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureFurnitureTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice Supplies,WestEastCentralCentralCentralCentralCentralCentralCentralCentralEastEastSouthEastEastEastEastEastEastCentralWestSouthSouthEastEastEastEastEastWestWestWestWestWestWestWestWestCentralWestWestEastEastEastSouthSouthSouthSouthWestWestWestSouthWestWestWestWestWestCentralCentralSouthSouthSouthSouthSouthSouthSouthCentralCentralCentralCentralCentralEastEastEastEastEastCentralCentralCentralSouthSouthSouthSouthSouthEastSouthSouthSouthSouthSouthSouthSouthWestWestWestWestSouthSouthSouthSouthSouthSouthSouthEastEastSouthSouthSouthSouthSouthSouthSouthSouthSouthSouthSouthWestWestCentralWestWestSouthEastWestEastWestWestWestWestWestWestWestWestWestCentralCentralWestCentralEastWestWestEastWestCentralCentralCentralCentralWestWestEastCentralCentralSouthSouthSouthSouth
2015-04-30,27906.855,Office SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyFurnitureTechnologyFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureTechnologyFurnitureOffice SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyTechnologyTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyFurnitureFurnitureOffice SuppliesFurnitureOffice SuppliesTechnologyTechnologyOffice SuppliesOffice Supplies,WestWestEastEastSouthSouthSouthCentralCentralSouthWestCentralCentralWestSouthSouthSouthSouthEastSouthSouthSouthSouthSouthCentralCentralCentralCentralCentralCentralEastEastEastEastWestWestWestWestWestWestWestWestWestSouthSouthSouthSouthSouthWestWestSouthWestWestWestEastSouthSouthSouthSouthWestCentralWestWestWestWestWestWestWestCentralEastEastEastEastEastWestWestSouthWestWestWestWestCentralCentralCentralCentralWestSouthSouthCentralCentralCentralWestWestSouthEastEastEastEastEastEastEastWestCentralCentralSouthWestWestWestWestWestWestWestEastEastEastEastEastEastEastWestEastEastSouthSouthSouthSouthEastSouthSouthSouth
2015-05-31,23644.303,Office SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureTechnologyTechnologyFurnitureTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesFurnitureFurnitureTechnologyOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureTechnologyTechnologyFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesTechnologyTechnologyOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyTechnologyTechnology,EastSouthCentralEastEastCentralEastCentralCentralWestWestSouthSouthSouthCentralCentralSouthSouthWestWestWestEastEastEastEastEastWestWestSouthSouthSouthSouthWestWestEastEastWestWestWestWestCentralCentralCentralCentralEastCentralCentralCentralCentralEastWestSouthSouthWestWestWestSouthWestWestCentralEastEastEastCentralSouthEastEastEastCentralCentralCentralCentralSouthSouthWestEastEastEastCentralCentralCentralCentralSouthSouthEastEastEastWestEastEastEastEastCentralCentralEastWestWestWestWestWestCentralCentralCentralWestWestWestWestCentralWestWestWestSouthCentralEastEastEastEastEastCentralSouthSouth
2015-06-30,34322.9356,FurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesFurnitureTechnologyFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice Supplies,CentralCentralCentralCentralCentralEastEastSouthSouthCentralCentralWestWestSouthSouthSouthWestCentralEastEastEastEastEastEastEastEastEastCentralCentralCentralSouthSouthCentralCentralWestSouthEastEastWestWestWestWestWestWestWestCentralCentralCentralWestWestSouthWestWestWestCentralWestCentralCentralCentralCentralCentralCentralEastEastEastEastWestWestWestWestCentralCentralCentralCentralCentralCentralCentralCentralCentralSouthSouthSouthEastEastEastWestWestEastEastEastEastEastEastEastEastEastEastWestCentralCentralEastEastEastWestEastSouthSouthWestWestWestWestWestSouthSouthSouthEastEastEastEastEastCentralEastEastEastCentralWestCentralCentralEastEastSouth
2015-07-31,33781.543,Office SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureTechnologyFurnitureFurnitureFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyTechnologyOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureFurnitureTechnologyTechnologyFurnitureOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurniture,WestSouthSouthEastEastWestWestSouthSouthSouthSouthSouthCentralCentralWestSouthSouthSouthSouthEastWestEastEastEastWestWestCentralCentralWestWestWestWestWestWestWestEastEastEastEastEastCentralCentralEastEastWestWestWestWestWestWestCentralCentralCentralCentralCentralCentralWestCentralCentralWestEastEastEastEastEastEastCentralCentralWestEastEastEastEastEastWestCentralCentralCentralEastEastWestWestWestWestWestWestWestWestWestWestWestWestWestCentralCentralCentralCentralCentralEastEastWestWestWestWestWestCentralWestWestWestWestEastWestWestWestWestWestWestWestWestWestCentralWestWestWestWestWestSouthSouthSouthCentralCentralCentralCentralCentralCentralWestEastWestSouthSouthSouthWest
2015-08-31,27117.5365,Office SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesFurnitureTechnologyTechnologyOffice SuppliesTechnologyTechnologyFurnitureFurnitureTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureTechnologyFurnitureTechnologyOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyOffice SuppliesTechnologyFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnology,SouthSouthSouthSouthWestEastCentralCentralCentralWestWestEastEastEastWestWestWestWestWestWestWestEastEastEastWestWestWestWestWestWestEastEastEastEastEastCentralSouthEastWestWestWestWestWestWestWestCentralCentralCentralCentralCentralSouthSouthSouthWestWestWestWestWestWestWestWestWestWestEastEastWestWestSouthSouthSouthSouthSouthSouthCentralEastSouthSouthEastCentralSouthSouthSouthSouthEastEastEastSouthWestWestSouthCentralSouthSouthSouthEastSouthCentralEastEastWestWestWestWestWestWestWestCentralWestEastEastSouthEastEastEastEastWestWestWestWestWestCentralCentralEastEastEastWestEastEastEastEastEastWestWestWestSouthSouthSouthSouthWestWestSouthSouthSouthEastEastWest
2015-09-30,81623.5268,Office SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyFurnitureTechnologyFurnitureOffice SuppliesOffice SuppliesFurnitureTechnologyTechnologyTechnologyOffice SuppliesFurnitureTechnologyOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureTechnologyTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureTechnologyFurnitureTechnologyOffice SuppliesTechnologyFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureFurnitureFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice Supplies,WestCentralCentralEastEastEastEastEastEastEastCentralCentralSouthCentralEastCentralEastSouthWestWestEastEastEastEastCentralCentralCentralCentralCentralEastCentralCentralCentralCentralCentralCentralCentralCentralCentralWestWestWestCentralCentralCentralCentralCentralCentralCentralCentralCentralCentralWestCentralSouthSouthWestWestWestSouthSouthEastWestWestWestWestCentralCentralCentralEastEastWestCentralEastEastEastEastEastEastEastEastSouthEastEastCentralSouthWestWestEastEastWestEastSouthSouthSouthCentralEastCentralCentralCentralCentralEastSouthEastEastEastWestCentralEastWestWestWestWestWestWestWestWestCentralCentralEastEastSouthSouthSouthSouthEastEastEastEastEastEastEastCentralCentralCentralCentralEastEastEastEastEastSouthSouthWestWestWestWestWestWestWestWestWestWestWestCentralCentralWestSouthSouthEastWestWestWestCentralWestWestSouthWestWestEastEastEastCentralCentralWestEastEastEastEastEastEastWestWestCentralCentralCentralWestWestWestWestWestWestEastEastCentralEastEastSouthCentralWestWestEastEastEastEastWestWestEastCentralCentralCentralCentralEastEastEastEastEastWestCentralCentralCentralCentralWestWestCentralEastWestWestWestEastEastEastEastEastEastEastWestWestEastSouthSouthSouthWestWestWestWestWestEastEastEastEastEastEastWestWestEastEastEastEastWestWestEastSouthSouthWestEastEast
2015-10-31,31453.393,Office SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesTechnologyTechnologyFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesTechnologyFurnitureOffice SuppliesFurnitureTechnologyTechnologyOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesFurnitureOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureFurnitureFurnitureOffice SuppliesOffice SuppliesTechnologyOffice SuppliesTechnologyFurnitureOffice SuppliesTechnologyFurnitureOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyTechnologyOffice SuppliesFurnitureOffice SuppliesTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesTechnologyOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesTechnologyTechnologyTechnologyOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesOffice SuppliesFurnitureTechnologyOffice SuppliesOffice SuppliesOffice SuppliesFurnitureOffice SuppliesFurnitureFurnitureFurnitureTechnologyFurnitureTechnology,WestWestWestWestWestWestWestWestCentralWestWestSouthSouthEastEastEastCentralCentralCentralCentralCentralWestWestWestEastEastWestWestCentralEastCentralEastCentralSouthEastSouthWestWestWestWestWestCentralCentralCentralCentralEastEastWestEastEastWestWestWestWestSouthSouthWestWestWestCentralWestWestWestWestEastEastEastSouthSouthSouthSouthEastEastCentralCentralCentralCentralCentralEastEastEastSouthEastEastWestWestCentralCentralCentralSouthSouthSouthEastEastEastSouthWestWestWestWestWestWestWestWestWestCentralSouthSouthCentralCentralCentralCentralCentralEastEastWestSouthSouthSouthEastSouthSouthWestSouthWestEastEastWestWestSouthSouthWestWestWestWestWestCentralCentralCentralCentralWestWestWestWestWestWestWestWestWestEastEastEastEastEastEastEastWestEastWest
